Signal, Attention, Meditation, Delta, Theta, low Alpha, high Alpha, low Beta, high Beta, low Gamma, high Gamma
6.25, 0.0, 0.0, 2.888450399041176, 2.6806024834513664, 0.5235662683844566, 0.5453184712678194, 0.31930976547300816, 0.10876101441681385, 0.0882195308804512, 0.21900632418692112
6.25, 0.0, 0.0, 9.70184919424355, 3.2709678635001183, 0.7371127139776945, 0.8512928616255522, 0.5229259841144085, 0.33750548027455807, 0.13112439773976803, 0.23890752345323563
6.25, 0.0, 0.0, 11.50183379650116, 3.576133167371154, 0.7729046046733856, 0.9123352356255054, 0.5385314580053091, 0.35485136322677135, 0.14285906217992306, 0.2543325535953045
6.25, 0.0, 0.0, 12.338743545114994, 5.281128687784076, 0.9405950549989939, 1.1369411367923021, 0.5926936864852905, 0.435457332059741, 0.21515297703444958, 0.293488847091794
0.0, 8.75, 11.0, 16.683898866176605, 4.256470128893852, 0.6910879164934158, 1.0305666364729404, 0.4116562195122242, 0.4523550160229206, 0.30298251658678055, 0.11259689927101135
0.0, 15.5, 25.0, 13.156718341633677, 5.311216227710247, 1.0007759556174278, 0.9698560461401939, 0.2604967448860407, 0.3211549483239651, 0.3267487045377493, 0.1327774953097105
0.0, 20.5, 39.0, 16.274809604510665, 8.365442045032978, 1.4577817637473345, 1.4833523891866207, 0.40584709495306015, 0.4874484147876501, 0.4811096005141735, 0.35960692912340164
0.0, 30.75, 48.5, 19.280059495940804, 6.705347914248705, 1.2925942428410053, 1.2695847544819117, 0.3810680937021971, 0.42760511860251427, 0.41918247006833553, 0.3351422492414713
0.0, 34.5, 51.5, 14.299899339675903, 5.109253106638789, 1.2308941222727299, 0.9095063433051109, 0.31564850360155106, 0.33774995245039463, 0.27973437681794167, 0.3411434590816498
0.0, 43.0, 48.25, 11.89125468954444, 3.5991775803267956, 0.7426133379340172, 0.6955757271498442, 0.2813932951539755, 0.26153866201639175, 0.23097964003682137, 0.3047345671802759
0.0, 53.25, 40.75, 8.165801409631968, 0.5965237505733967, 0.2791930455714464, 0.15126424841582775, 0.17284764908254147, 0.09447685442864895, 0.07845228537917137, 0.06827758625149727
0.0, 56.25, 43.75, 10.249757906422019, 0.8025032002478838, 0.5023728590458632, 0.2881570253521204, 0.4746601916849613, 0.20400620996952057, 0.13227108865976334, 0.09603681974112988
0.0, 59.75, 38.25, 8.544221054762602, 0.7712282240390778, 0.30060182325541973, 0.23088068701326847, 0.4100031219422817, 0.1832493580877781, 0.10239309631288052, 0.054907286539673805
0.0, 63.25, 37.0, 7.811235263943672, 0.9478186257183552, 0.3631517756730318, 0.4327681381255388, 0.5744863301515579, 0.2961372956633568, 0.13079261407256126, 0.07204944267868996
0.0, 69.75, 44.0, 9.25938948057592, 0.8889299351722002, 0.4163011908531189, 0.4842004273086786, 0.6020651198923588, 0.32527605071663857, 0.1488660927861929, 0.08038477972149849
0.0, 70.0, 40.75, 4.369881935417652, 1.5442841686308384, 0.2713932190090418, 0.4359753802418709, 0.3700610250234604, 0.2131506334990263, 0.12269592843949795, 0.04029134288430214
0.0, 63.25, 43.25, 4.637683741748333, 1.7533486243337393, 0.3896770067512989, 0.7124908734112978, 0.47505018301308155, 0.23703905753791332, 0.14541437849402428, 0.04237517714500427
0.0, 51.75, 47.75, 6.745621794834733, 1.5213387086987495, 0.3084831405431032, 0.5714187864214182, 0.31837262213230133, 0.12641539797186852, 0.11444208212196827, 0.02477318048477173
